Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Nerul,776.98,2.0,3.0,20.0,10.0,10.4,0,1,11433883.0,14715.80092151664
Ulwe,984.78,2.0,1.0,18.0,24.0,4.8,0,0,17679624.0,17952.86663011028
Airoli,771.34,2.0,4.0,23.0,11.0,11.7,1,1,10398279.0,13480.798350921772
Kharghar,1019.52,4.0,3.0,6.0,20.0,20.0,1,1,12568863.0,12328.216219397364
Belapur,986.44,1.0,1.0,7.0,33.0,18.8,1,1,15592878.0,15807.223956854952
Airoli,1331.6,2.0,1.0,8.0,10.0,11.9,0,0,22074309.0,16577.282216881948
Kharghar,1265.32,2.0,3.0,22.0,36.0,13.5,1,1,16971841.0,13413.082066196694
Nerul,1303.62,2.0,2.0,32.0,31.0,12.4,0,0,11847944.0,9088.495113606727
Ghansoli,963.61,2.0,3.0,7.0,19.0,8.7,1,1,18957250.0,19673.1561523853
Panvel,992.12,4.0,2.0,14.0,10.0,1.5,0,1,18766413.0,18915.466879006573
Kharghar,1121.13,4.0,3.0,11.0,32.0,2.2,1,1,20748714.0,18506.9652939445
Vashi,300.9,4.0,3.0,16.0,1.0,2.3,1,0,5321582.0,17685.550016616817
Nerul,1141.1,2.0,2.0,2.0,20.0,6.4,1,0,12712839.0,11140.863202173343
Panvel,1198.5,3.0,3.0,13.0,5.0,13.8,0,0,17071372.0,14243.94826866917
Panvel,1278.37,2.0,2.0,10.0,33.0,2.5,1,1,23439976.0,18335.830784514656
Nerul,1561.72,4.0,4.0,11.0,37.0,8.8,1,0,32087001.0,20545.93717183618
Kharghar,969.73,2.0,3.0,26.0,20.0,9.3,0,1,15041612.0,15511.134026997204
Cbd Belapur,132.43,2.0,4.0,31.0,12.0,7.4,0,0,1499590.0,11323.64267915125
Vashi,1521.97,2.0,2.0,5.0,7.0,14.0,0,0,28247653.0,18559.927593842192
Panvel,371.76,1.0,3.0,15.0,11.0,2.9,1,0,6564565.0,17658.07241230902
Panvel,422.34,2.0,1.0,21.0,9.0,12.8,1,1,5099958.0,12075.47947151584
Cbd Belapur,1029.52,1.0,1.0,15.0,8.0,17.8,0,1,13348534.0,12965.784054705106
Kharghar,935.84,1.0,3.0,2.0,15.0,3.9,0,0,9728892.0,10395.892460249615
Vashi,927.92,2.0,3.0,31.0,30.0,10.9,0,1,12446158.0,13412.964479696526
Vashi,1034.0,2.0,4.0,22.0,23.0,11.7,0,0,14308839.0,13838.335589941973
Nerul,1269.84,3.0,1.0,15.0,29.0,7.0,0,1,19313506.0,15209.401184401186
Airoli,605.85,4.0,4.0,16.0,22.0,5.5,0,0,8969143.0,14804.230420070975
Kharghar,1145.11,2.0,2.0,10.0,30.0,3.6,1,0,13055627.0,11401.199011448683
Panvel,1495.55,2.0,1.0,23.0,38.0,23.2,0,0,16715321.0,11176.70489117716
Ghansoli,876.03,2.0,3.0,13.0,20.0,11.9,1,0,11642808.0,13290.421560905448
Ghansoli,901.77,4.0,3.0,8.0,9.0,0.0,1,0,13377975.0,14835.24069330317
Vashi,420.03,2.0,3.0,32.0,34.0,12.9,1,0,4062210.0,9671.237768730805
Kharghar,1070.93,3.0,4.0,16.0,27.0,16.3,0,0,16934270.0,15812.676832285955
Belapur,981.97,3.0,3.0,14.0,35.0,9.9,0,0,20769747.0,21151.10135747528
Ulwe,645.44,3.0,3.0,30.0,20.0,9.2,0,1,8526136.0,13209.804164600891
Nerul,758.38,1.0,1.0,31.0,39.0,2.6,0,0,7336427.0,9673.813919143437
Nerul,680.03,4.0,3.0,19.0,26.0,5.6,0,0,9942367.0,14620.482919871183
Belapur,1051.04,4.0,2.0,21.0,4.0,11.9,1,0,17975725.0,17102.798180849444
Nerul,862.36,3.0,1.0,32.0,12.0,13.0,1,0,15910504.0,18449.955934876387
Ulwe,1101.89,3.0,2.0,29.0,8.0,6.0,1,0,11780143.0,10690.852081423734
Belapur,663.9,3.0,2.0,4.0,29.0,3.8,1,0,7989708.0,12034.505196565748
Vashi,1472.19,2.0,3.0,5.0,16.0,8.1,1,0,17370680.0,11799.21069970588
Panvel,669.79,1.0,3.0,23.0,9.0,12.6,1,0,12441454.0,18575.156392302066
Vashi,582.72,2.0,3.0,5.0,36.0,11.8,0,0,5830986.0,10006.497116968698
Vashi,674.74,1.0,4.0,27.0,22.0,22.8,0,1,7988039.0,11838.691940599341
Ghansoli,1769.92,2.0,3.0,30.0,8.0,8.0,0,0,22107136.0,12490.471885734947
Cbd Belapur,810.79,1.0,1.0,18.0,25.0,9.2,0,0,11977609.0,14772.763600932425
Kharghar,1688.68,3.0,4.0,28.0,25.0,11.5,0,1,31235529.0,18497.008906364736
Kharghar,759.57,2.0,4.0,0.0,6.0,5.1,0,1,9104075.0,11985.827507668811
Nerul,676.63,2.0,4.0,6.0,9.0,4.9,1,0,8668626.0,12811.471557572086
Cbd Belapur,3189.87,4.0,1.0,16.0,22.0,1.3,1,0,53834313.0,16876.647951170424
Vashi,3385.31,4.0,3.0,20.0,2.0,1.3,1,1,43659115.0,12896.637235585515
Nerul,1115.91,4.0,2.0,21.0,9.0,17.6,0,0,13505784.0,12102.933032233781
Belapur,629.26,2.0,3.0,6.0,15.0,8.4,1,0,9028884.0,14348.41559927534
Kharghar,5401.59,4.0,2.0,15.0,3.0,9.2,1,0,69093705.0,12791.364209427224
Kharghar,1423.03,2.0,3.0,2.0,9.0,7.4,0,1,20537792.0,14432.437826328327
Ghansoli,87.95,2.0,1.0,7.0,34.0,9.4,1,0,718677.0,8171.42694712905
Vashi,569.3,3.0,4.0,24.0,20.0,18.9,1,0,10100267.0,17741.554540663976
Ulwe,941.26,1.0,3.0,8.0,27.0,12.2,0,0,13301014.0,14131.073242249751
Panvel,1322.97,2.0,4.0,17.0,17.0,5.5,0,1,18095015.0,13677.57016410047
Cbd Belapur,121.53,2.0,1.0,9.0,12.0,14.0,1,0,1647793.0,13558.734468855426
Panvel,1006.35,3.0,2.0,0.0,1.0,2.6,1,1,14043708.0,13955.09315844388
Airoli,1078.31,3.0,4.0,24.0,20.0,9.2,1,1,17259664.0,16006.217136074043
Belapur,1327.99,1.0,3.0,25.0,37.0,6.6,0,1,25026215.0,18845.18332216357
Kharghar,607.92,4.0,3.0,4.0,18.0,24.9,0,1,8323583.0,13691.90518489275
Nerul,432.13,2.0,2.0,22.0,20.0,15.0,1,0,6119348.0,14160.896026658644
Panvel,653.77,4.0,1.0,1.0,6.0,7.0,0,0,9758083.0,14925.86536549551
Kharghar,583.12,2.0,3.0,31.0,38.0,2.6,1,0,11281278.0,19346.4089724242
Vashi,6492.59,2.0,3.0,5.0,20.0,0.1,0,1,98026838.0,15098.264020983921
Ghansoli,1327.02,2.0,4.0,6.0,8.0,27.5,0,0,16109291.0,12139.448538831366
Cbd Belapur,1095.64,3.0,2.0,4.0,20.0,5.1,1,1,14130868.0,12897.364097696322
Kharghar,692.89,3.0,2.0,5.0,21.0,5.2,0,1,11982409.0,17293.37845834115
Nerul,225.18,1.0,4.0,22.0,20.0,11.8,1,0,3831463.0,17015.112354560795
Ghansoli,728.52,2.0,3.0,0.0,28.0,3.7,0,1,12311783.0,16899.718607587987
Cbd Belapur,1333.01,2.0,2.0,13.0,10.0,2.8,1,0,13981002.0,10488.294911516043
Panvel,981.56,1.0,1.0,13.0,32.0,8.1,1,0,15553894.0,15846.096010432373
Kharghar,1656.42,2.0,1.0,23.0,20.0,24.7,1,0,25899575.0,15635.874355537846
Belapur,514.16,1.0,4.0,7.0,16.0,17.8,0,0,8174391.0,15898.535475338416
Ghansoli,818.65,1.0,1.0,11.0,19.0,10.2,0,1,13502561.0,16493.692053991326
Nerul,1337.13,2.0,4.0,5.0,16.0,14.0,0,0,24286215.0,18162.942271880816
Kharghar,782.89,2.0,4.0,23.0,24.0,1.4,1,1,9670521.0,12352.336854475087
Ghansoli,993.42,3.0,2.0,26.0,33.0,7.8,1,0,13211469.0,13298.97626381591
Panvel,940.11,3.0,2.0,0.0,6.0,7.2,0,0,11369920.0,12094.244290561743
Vashi,713.48,1.0,4.0,29.0,35.0,3.0,0,1,6959537.0,9754.354712115266
Panvel,634.3,2.0,3.0,16.0,31.0,12.5,0,0,5743876.0,9055.456408639446
Cbd Belapur,620.72,2.0,2.0,22.0,20.0,12.4,1,0,10886985.0,17539.285023843277
Airoli,1056.06,4.0,3.0,0.0,33.0,11.9,0,0,20958670.0,19846.097759596993
Vashi,1008.83,4.0,1.0,15.0,7.0,11.3,0,1,20782802.0,20600.89608754696
Kharghar,659.46,1.0,4.0,21.0,20.0,5.9,1,0,9031445.0,13695.212749825614
Nerul,1390.53,2.0,3.0,29.0,32.0,1.1,0,1,27826920.0,20011.736532113653
Vashi,1451.92,2.0,2.0,16.0,4.0,6.6,0,1,18602675.0,12812.465562840927
Cbd Belapur,1624.86,2.0,1.0,20.0,28.0,13.3,1,1,25727334.0,15833.569661386213
Nerul,418.76,3.0,3.0,27.0,27.0,11.1,1,0,6814215.0,16272.363645047282
Nerul,1034.56,4.0,3.0,23.0,31.0,14.4,1,0,18183359.0,17575.934696875967
Cbd Belapur,1192.74,1.0,2.0,28.0,38.0,20.3,0,1,12513493.0,10491.383704747053
Vashi,707.4,2.0,2.0,1.0,18.0,10.7,0,0,6913616.0,9773.276788238622
Belapur,346.79,3.0,1.0,23.0,8.0,14.0,1,0,5699938.0,16436.281322990857
Airoli,1151.1,4.0,4.0,23.0,25.0,7.0,0,1,25019755.0,21735.518199982627
Panvel,1286.92,2.0,2.0,29.0,18.0,8.1,0,1,21853968.0,16981.605694215647
Ghansoli,1832.21,2.0,3.0,5.0,28.0,15.2,1,0,29608780.0,16160.145398180339
Nerul,910.66,1.0,3.0,24.0,23.0,2.1,0,1,14964643.0,16432.744383194608
Belapur,134.16,2.0,2.0,25.0,32.0,0.2,0,0,1440385.0,10736.322301729278
Nerul,464.18,2.0,3.0,2.0,14.0,4.8,1,0,4110811.0,8856.070920763497
Cbd Belapur,877.45,4.0,1.0,11.0,29.0,5.0,0,1,14499917.0,16525.063536383837
Panvel,1027.06,2.0,4.0,25.0,37.0,10.2,0,1,13709853.0,13348.638833174304
Airoli,495.81,2.0,4.0,9.0,20.0,10.9,0,1,7098612.0,14317.202154050947
Panvel,1489.65,2.0,1.0,26.0,3.0,14.3,1,0,14840349.0,9962.305910784411
Ulwe,912.22,2.0,2.0,33.0,35.0,10.5,1,0,14843842.0,16272.217228300191
Nerul,771.11,2.0,4.0,9.0,4.0,2.4,1,0,8320345.0,10790.08831424829
Ulwe,569.23,3.0,3.0,28.0,30.0,10.6,1,0,9534200.0,16749.29290444987
Nerul,907.56,2.0,2.0,2.0,15.0,15.4,0,1,16181090.0,17829.22341222619
Kharghar,1127.4,4.0,3.0,16.0,1.0,1.1,0,1,15112517.0,13404.751640943763
Kharghar,1298.3,2.0,3.0,19.0,11.0,13.7,0,0,14601909.0,11246.945236077949
Ghansoli,525.0,2.0,2.0,30.0,20.0,7.3,0,0,7200525.0,13715.285714285714
Airoli,863.76,2.0,1.0,22.0,15.0,5.8,1,0,14972812.0,17334.458645920164
Kharghar,362.99,2.0,3.0,8.0,28.0,9.0,0,0,6059624.0,16693.638943221576
Vashi,994.72,2.0,3.0,26.0,1.0,14.0,1,0,9330374.0,9379.899871320573
Kharghar,545.91,4.0,3.0,16.0,25.0,5.0,1,0,11796518.0,21608.906229964647
Panvel,563.25,3.0,3.0,32.0,13.0,15.1,0,1,8743140.0,15522.663115845538
Nerul,444.99,2.0,4.0,12.0,19.0,1.9,1,0,4513383.0,10142.661632845682
Panvel,2919.05,2.0,4.0,27.0,18.0,8.8,1,1,47420366.0,16245.136602661823
Ghansoli,395.58,2.0,3.0,10.0,30.0,9.1,0,0,6691435.0,16915.503817179837
Ghansoli,522.09,4.0,1.0,13.0,13.0,1.2,1,1,8747720.0,16755.195464383534
Panvel,648.63,1.0,3.0,34.0,27.0,10.8,0,0,8930428.0,13768.139000662935
Airoli,356.38,1.0,2.0,24.0,7.0,6.7,1,0,3535044.0,9919.310847971266
Vashi,1179.38,2.0,3.0,21.0,21.0,17.0,0,1,15710049.0,13320.599806678083
Panvel,1215.46,2.0,4.0,10.0,25.0,14.4,0,0,18271593.0,15032.656771921742
Kharghar,365.2,2.0,2.0,7.0,5.0,16.0,0,0,3919455.0,10732.352135815992
Airoli,699.02,1.0,1.0,20.0,36.0,8.4,0,1,6678698.0,9554.373265428743
Cbd Belapur,643.98,1.0,3.0,11.0,26.0,15.0,0,0,11161969.0,17332.788285350478
Cbd Belapur,1153.39,1.0,3.0,4.0,30.0,6.9,0,0,21207751.0,18387.31998716826
Ulwe,1453.69,4.0,2.0,28.0,8.0,14.9,0,0,30652856.0,21086.239844808726
Nerul,416.16,2.0,1.0,23.0,37.0,5.7,0,0,7743841.0,18607.845540176855
Airoli,853.88,2.0,3.0,20.0,26.0,3.5,0,0,8416452.0,9856.715229306226
Panvel,517.43,4.0,1.0,30.0,33.0,10.0,0,0,6272748.0,12122.89198538933
Airoli,1195.38,2.0,4.0,1.0,12.0,7.8,0,0,13202559.0,11044.654419515133
Panvel,588.37,3.0,2.0,33.0,20.0,1.3,0,1,10102471.0,17170.268708465763
Ghansoli,195.74,1.0,3.0,28.0,24.0,11.1,1,1,2339495.0,11952.053744763462
Nerul,205.22,4.0,4.0,12.0,37.0,8.7,1,1,3040370.0,14815.173959653055
Ulwe,1348.17,1.0,3.0,16.0,39.0,11.5,0,0,14350479.0,10644.413538351988
Airoli,1711.02,3.0,2.0,19.0,17.0,25.2,1,1,25967260.0,15176.479526831949
Kharghar,1047.25,2.0,4.0,19.0,18.0,7.6,1,1,20422314.0,19500.89663404154
Kharghar,4551.65,3.0,2.0,12.0,22.0,19.1,0,0,65305014.0,14347.547372930696
Ghansoli,1163.82,2.0,2.0,6.0,19.0,12.0,1,1,19405632.0,16674.083621178535
Airoli,725.08,2.0,3.0,2.0,30.0,1.9,0,1,8589356.0,11846.080432503999
Kharghar,95.68,2.0,3.0,5.0,39.0,12.6,0,0,899463.0,9400.742056856187
Kharghar,709.8,2.0,2.0,25.0,11.0,8.3,0,0,7186796.0,10125.100028176952
Panvel,1468.35,2.0,4.0,27.0,39.0,3.7,1,1,19925517.0,13570.005107774034
Panvel,614.31,3.0,3.0,11.0,33.0,6.1,1,1,11091795.0,18055.696635249307
Ulwe,812.85,2.0,1.0,16.0,27.0,9.7,0,1,9122759.0,11223.176477824936
Airoli,896.95,3.0,3.0,19.0,38.0,2.2,0,0,13627499.0,15193.153464518646
Ulwe,668.66,2.0,3.0,23.0,37.0,4.8,0,1,10743122.0,16066.643735231659
Nerul,1146.81,2.0,4.0,31.0,20.0,20.4,0,0,19146063.0,16695.06108248097
Panvel,1000.57,2.0,1.0,31.0,17.0,0.9,0,1,15970575.0,15961.476958133862
Kharghar,1166.58,2.0,3.0,9.0,16.0,1.5,0,1,15343160.0,13152.257024807557
Ghansoli,1055.71,1.0,1.0,19.0,9.0,3.4,1,0,14456867.0,13693.975618304268
Ghansoli,1344.18,2.0,3.0,2.0,38.0,13.2,0,1,25683849.0,19107.447663259383
Panvel,870.99,3.0,1.0,24.0,20.0,3.4,1,0,16246411.0,18652.81002078095
Vashi,1126.19,4.0,3.0,18.0,33.0,16.4,0,0,18817602.0,16709.082836821493
Ulwe,240.79,2.0,2.0,24.0,25.0,15.6,0,1,3384933.0,14057.614518875369
Kharghar,1378.15,2.0,4.0,24.0,21.0,15.6,0,0,12879613.0,9345.581395348836
Panvel,88.64,3.0,3.0,21.0,36.0,4.2,0,0,464432.0,5239.5306859205775
Airoli,1236.53,1.0,3.0,28.0,30.0,28.4,1,1,17618234.0,14248.124994945534
Belapur,755.73,4.0,3.0,24.0,5.0,2.0,0,0,12860414.0,17017.207203630926
Kharghar,690.86,1.0,4.0,6.0,8.0,7.7,0,0,7589874.0,10986.124540427872
Belapur,833.25,2.0,4.0,18.0,11.0,2.3,1,0,14466756.0,17361.843384338434
Ulwe,815.25,2.0,3.0,16.0,8.0,17.1,0,0,11951338.0,14659.721557804354
Panvel,208.79,1.0,2.0,28.0,8.0,7.3,0,1,2135846.0,10229.637434743043
Ulwe,1236.68,3.0,3.0,17.0,30.0,0.5,1,0,24394507.0,19725.803764918976
Ulwe,304.58,2.0,1.0,23.0,1.0,16.8,0,1,5600535.0,18387.73064547902
Ulwe,1369.82,1.0,1.0,5.0,23.0,4.8,0,1,14039147.0,10248.89912543254
Panvel,1199.56,2.0,3.0,30.0,25.0,1.9,1,0,12810285.0,10679.153189502818
Panvel,753.68,3.0,2.0,0.0,26.0,3.5,0,0,12539597.0,16637.8263984715
Belapur,553.39,2.0,1.0,2.0,25.0,8.6,0,0,8964340.0,16198.95552865068
Kharghar,5637.48,4.0,3.0,8.0,21.0,5.2,0,1,103974316.0,18443.403080809156
Belapur,950.48,4.0,1.0,32.0,25.0,3.1,0,1,18331469.0,19286.538380607693
Ghansoli,1015.28,2.0,4.0,9.0,9.0,3.7,1,1,10229745.0,10075.786975021669
Kharghar,1530.03,3.0,3.0,5.0,6.0,0.4,0,1,27323029.0,17857.838735188197
Nerul,771.29,4.0,4.0,30.0,19.0,15.2,1,0,13998842.0,18149.90729816282
Belapur,1096.31,2.0,3.0,1.0,3.0,15.0,0,0,14733383.0,13439.066504911932
Ulwe,632.73,3.0,2.0,12.0,16.0,13.2,0,0,8043762.0,12712.787444881702
Ulwe,128.85,1.0,3.0,31.0,39.0,0.9,0,1,3008400.0,23348.079161816066
Nerul,1109.38,2.0,4.0,21.0,29.0,9.5,1,0,12436033.0,11209.894715967475
Kharghar,1172.73,2.0,2.0,19.0,29.0,6.7,1,1,13695396.0,11678.217492517459
Ghansoli,709.32,2.0,3.0,14.0,21.0,19.1,1,0,6896106.0,9722.136694298764
Nerul,1328.37,2.0,1.0,2.0,18.0,13.7,0,0,14758426.0,11110.17713438274
Ulwe,621.93,2.0,3.0,31.0,10.0,0.5,0,0,11615881.0,18677.151769491746
Vashi,1427.58,1.0,2.0,6.0,19.0,6.0,1,0,24082437.0,16869.413272811333
Panvel,855.39,2.0,1.0,3.0,20.0,0.1,0,0,9859374.0,11526.17402588293
Nerul,1187.01,2.0,3.0,11.0,29.0,7.3,1,0,12893194.0,10861.908492767541
Belapur,1073.25,1.0,3.0,1.0,16.0,12.4,0,1,13202992.0,12301.879338457955
Kharghar,1262.43,4.0,3.0,16.0,5.0,8.1,0,1,25554649.0,20242.428491084655
Panvel,1336.37,2.0,2.0,21.0,6.0,8.5,0,0,21282349.0,15925.491443238026
Kharghar,7398.97,3.0,3.0,24.0,29.0,2.3,1,1,104748766.0,14157.20917911547
Nerul,969.72,2.0,2.0,27.0,11.0,12.6,1,1,10803564.0,11140.910778369014
Nerul,353.23,3.0,3.0,27.0,25.0,11.0,1,0,6000048.0,16986.235597202955
Airoli,1222.94,1.0,3.0,16.0,37.0,13.7,0,0,14337806.0,11724.046968780152
Ghansoli,1862.76,2.0,3.0,33.0,27.0,5.1,1,0,24876160.0,13354.463269557002
Ghansoli,806.15,3.0,3.0,6.0,32.0,9.8,1,0,12605937.0,15637.210196613534
Kharghar,97.77,2.0,4.0,20.0,29.0,12.6,0,0,1436310.0,14690.702669530532
Vashi,1090.25,2.0,4.0,0.0,5.0,10.9,1,1,16942680.0,15540.178858060079
Ghansoli,1307.96,1.0,2.0,5.0,6.0,1.8,0,0,17684818.0,13520.916541790268
Ghansoli,1380.14,4.0,2.0,18.0,13.0,9.3,0,0,17512565.0,12688.977205211064
Cbd Belapur,425.33,1.0,2.0,22.0,25.0,13.2,0,0,5262624.0,12373.037406249266
Airoli,254.37,4.0,1.0,14.0,28.0,14.7,0,1,2853090.0,11216.299091874042
Cbd Belapur,1037.41,3.0,1.0,0.0,10.0,14.1,0,1,15496561.0,14937.740141313463
Nerul,1692.99,1.0,4.0,31.0,22.0,2.6,1,0,30049593.0,17749.42143781121
Vashi,742.09,2.0,1.0,1.0,6.0,0.5,1,0,8202895.0,11053.77380102144
Panvel,506.76,4.0,3.0,12.0,19.0,13.9,1,0,7927125.0,15642.759886336728
Cbd Belapur,895.28,2.0,3.0,10.0,17.0,4.2,0,1,11460526.0,12801.052184791351
Cbd Belapur,854.93,2.0,4.0,32.0,8.0,8.5,0,1,16001089.0,18716.25630168552
Belapur,1277.11,2.0,1.0,14.0,37.0,16.3,0,1,13782452.0,10791.906726906846
Panvel,1509.74,1.0,3.0,9.0,25.0,13.5,0,0,15623695.0,10348.599758898883
Airoli,4128.55,1.0,2.0,26.0,34.0,4.2,1,1,67081184.0,16248.121979871867
Belapur,1380.4,4.0,3.0,23.0,20.0,8.1,1,0,22066760.0,15985.772239930453
Ghansoli,886.59,2.0,3.0,27.0,11.0,7.8,1,1,9627599.0,10859.133308519158
Belapur,1155.45,2.0,4.0,1.0,20.0,8.2,0,1,19565076.0,16932.862521095678
Ulwe,1180.62,4.0,3.0,14.0,20.0,9.9,1,0,18788851.0,15914.393284884214
Nerul,736.3,1.0,2.0,32.0,11.0,8.9,1,0,14316510.0,19443.85440717099
Vashi,331.71,2.0,2.0,34.0,19.0,17.5,0,1,4361539.0,13148.650930029244
Nerul,1067.58,2.0,3.0,0.0,1.0,9.0,0,1,11800812.0,11053.79643680099
Panvel,1212.54,2.0,4.0,14.0,24.0,13.0,0,0,20587671.0,16978.962343510317
Nerul,2021.24,3.0,3.0,16.0,17.0,5.1,0,0,21914819.0,10842.264649423127
Airoli,91.26,3.0,3.0,12.0,37.0,9.4,0,0,2370289.0,25972.923515231207
Panvel,707.32,3.0,2.0,4.0,2.0,9.3,0,0,9922089.0,14027.722954249843
Airoli,960.15,2.0,4.0,23.0,16.0,3.7,0,0,16215457.0,16888.46221944488
Ulwe,1266.15,2.0,2.0,14.0,22.0,15.8,0,0,12742206.0,10063.741262883545
Ulwe,813.8,3.0,1.0,26.0,17.0,7.9,0,0,12642992.0,15535.748341115754
Kharghar,2125.1,2.0,2.0,0.0,11.0,2.8,0,1,19900877.0,9364.677897510706
Kharghar,1104.19,2.0,1.0,29.0,12.0,10.5,0,1,11004956.0,9966.54199005606
Kharghar,919.0,2.0,1.0,9.0,19.0,7.6,0,1,8510853.0,9260.993471164309
Panvel,997.84,2.0,4.0,16.0,38.0,12.9,0,0,15206168.0,15239.08442235228
Kharghar,282.09,2.0,2.0,23.0,33.0,18.6,0,1,4543744.0,16107.426707788296
Cbd Belapur,1100.88,3.0,3.0,0.0,14.0,17.4,0,1,19146857.0,17392.319780539205
Belapur,350.05,2.0,3.0,32.0,25.0,8.0,1,0,4273359.0,12207.853163833737
Ulwe,1005.23,1.0,1.0,26.0,4.0,3.3,0,1,11955031.0,11892.831491300498
Airoli,1053.95,1.0,3.0,13.0,16.0,12.7,1,1,13986244.0,13270.310735803405
Kharghar,1343.62,2.0,1.0,20.0,16.0,18.4,1,1,20996050.0,15626.479212872688
